Comunidades y Ciudades Autónomas	Edad del trabajador	Sexo	Periodo	Total
Andalucía	De 25 a 34 años	Ambos sexos	2020	16.643,35
Andalucía	De 25 a 34 años	Ambos sexos	2019	16.509,01
Andalucía	De 25 a 34 años	Ambos sexos	2018	16.293,48
Aragón	De 25 a 34 años	Ambos sexos	2020	18.919,42
Aragón	De 25 a 34 años	Ambos sexos	2019	19.006,76
Aragón	De 25 a 34 años	Ambos sexos	2018	19.306,31
Asturias, Principado de	De 25 a 34 años	Ambos sexos	2020	18.973,91
Asturias, Principado de	De 25 a 34 años	Ambos sexos	2019	18.309,70
Asturias, Principado de	De 25 a 34 años	Ambos sexos	2018	18.141,88
Balears, Illes	De 25 a 34 años	Ambos sexos	2020	19.413,73
Balears, Illes	De 25 a 34 años	Ambos sexos	2019	20.075,72
Balears, Illes	De 25 a 34 años	Ambos sexos	2018	18.759,36
Canarias	De 25 a 34 años	Ambos sexos	2020	16.608,61
Canarias	De 25 a 34 años	Ambos sexos	2019	16.467,90
Canarias	De 25 a 34 años	Ambos sexos	2018	16.988,89
Cantabria	De 25 a 34 años	Ambos sexos	2020	19.736,18
Cantabria	De 25 a 34 años	Ambos sexos	2019	19.686,42
Cantabria	De 25 a 34 años	Ambos sexos	2018	18.289,24
Castilla y León	De 25 a 34 años	Ambos sexos	2020	19.201,93
Castilla y León	De 25 a 34 años	Ambos sexos	2019	18.217,73
Castilla y León	De 25 a 34 años	Ambos sexos	2018	18.322,20
Castilla - La Mancha	De 25 a 34 años	Ambos sexos	2020	18.014,77
Castilla - La Mancha	De 25 a 34 años	Ambos sexos	2019	17.631,22
Castilla - La Mancha	De 25 a 34 años	Ambos sexos	2018	17.629,80
Cataluña	De 25 a 34 años	Ambos sexos	2020	22.338,55
Cataluña	De 25 a 34 años	Ambos sexos	2019	21.656,58
Cataluña	De 25 a 34 años	Ambos sexos	2018	21.621,47
Comunitat Valenciana	De 25 a 34 años	Ambos sexos	2020	18.430,18
Comunitat Valenciana	De 25 a 34 años	Ambos sexos	2019	17.726,16
Comunitat Valenciana	De 25 a 34 años	Ambos sexos	2018	17.057,95
Extremadura	De 25 a 34 años	Ambos sexos	2020	16.082,34
Extremadura	De 25 a 34 años	Ambos sexos	2019	15.567,21
Extremadura	De 25 a 34 años	Ambos sexos	2018	15.539,44
Galicia	De 25 a 34 años	Ambos sexos	2020	18.156,40
Galicia	De 25 a 34 años	Ambos sexos	2019	17.580,05
Galicia	De 25 a 34 años	Ambos sexos	2018	18.009,29
Madrid, Comunidad de	De 25 a 34 años	Ambos sexos	2020	23.021,84
Madrid, Comunidad de	De 25 a 34 años	Ambos sexos	2019	22.387,18
Madrid, Comunidad de	De 25 a 34 años	Ambos sexos	2018	22.122,57
Murcia, Región de	De 25 a 34 años	Ambos sexos	2020	17.612,17
Murcia, Región de	De 25 a 34 años	Ambos sexos	2019	17.001,94
Murcia, Región de	De 25 a 34 años	Ambos sexos	2018	16.334,90
Navarra, Comunidad Foral de	De 25 a 34 años	Ambos sexos	2020	23.235,86
Navarra, Comunidad Foral de	De 25 a 34 años	Ambos sexos	2019	22.705,03
Navarra, Comunidad Foral de	De 25 a 34 años	Ambos sexos	2018	22.211,18
País Vasco	De 25 a 34 años	Ambos sexos	2020	24.079,13
País Vasco	De 25 a 34 años	Ambos sexos	2019	23.113,00
País Vasco	De 25 a 34 años	Ambos sexos	2018	22.163,12
Rioja, La	De 25 a 34 años	Ambos sexos	2020	18.788,29
Rioja, La	De 25 a 34 años	Ambos sexos	2019	18.494,64
Rioja, La	De 25 a 34 años	Ambos sexos	2018	18.852,70
